股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈(TTM),股息率,市值
SH600660,福耀玻璃,38.4,+0.45,1.19%,13.6%,8119361,311070002,0.41%,19.235,3.254%,100214151629
SH600416,湘电股份,16.9,-0.5,-2.87%,-10.11%,18234000,310688871,1.63%,70.004,,22399368921
SH601000,唐山港,3.56,+0.15,4.4%,37.19%,88801025,310375700,1.5%,11.528,5.634%,21096305866
SH603369,今世缘,62.61,-0.29,-0.46%,24.64%,4915880,308697577,0.39%,26.763,1.167%,78544245000
SH600166,福田汽车,3.54,+0.16,4.73%,25.98%,88458474,307806923,1.35%,62.741,,28333322702
SH601168,西部矿业,13.12,+0.3,2.34%,44.29%,23401115,305899709,0.98%,9.338,10.671%,31264960000
SH600105,永鼎股份,6.28,+0.21,3.46%,84.16%,49276780,305829466,3.57%,37.39,,8820726560
SH600795,国电电力,3.68,+0.01,0.27%,-11.53%,82496292,305356214,0.46%,18.85,4.087%,65635078222
SH600985,淮北矿业,12.78,+0.3,2.4%,8.65%,23809136,304162994,0.96%,4.499,8.216%,31707670752
SH600572,康恩贝,5.21,+0.21,4.2%,12.58%,58891701,303578594,2.3%,20.192,2.885%,13389894432
SH600095,湘财股份,8.14,+0.08,0.99%,8.59%,37267972,303281444,1.3%,-217.493,0.848%,23273484346
SH603393,新天然气,28.88,+1.64,6.02%,35.75%,10616230,303032505,2.82%,13.202,2.079%,12242847924
SH600683,京投发展,6.75,-0.21,-3.02%,46.42%,45302708,302363212,6.12%,24.948,,5000248780
SH600111,北方稀土,22.42,+0.25,1.13%,-9.86%,13511357,302179241,0.37%,20.727,0.758%,81049776178
SH601939,建设银行,6.04,-0.02,-0.33%,14.24%,49911359,301920507,0.52%,4.586,6.44%,1510066304015
SH603322,超讯通信,26.08,+0.49,1.91%,60%,11574560,301325721,7.39%,-71.386,,4110438547
SH600202,哈空调,6.07,-0.34,-5.3%,20.68%,49003214,301081828,12.78%,48.243,,2326877879
SH600426,华鲁恒升,32.98,+0.13,0.4%,2.13%,9139940,301018712,0.43%,20.075,2.426%,70027093567
SH603728,鸣志电器,68.52,-0.08,-0.12%,105.85%,4386844,300813718,1.05%,125.236,0.102%,28782716760
SH600862,中航高科,25.39,-0.52,-2.01%,14.69%,11842849,300639574,0.85%,42.06,0.65%,35369516827
SH601111,中国国航,8.27,+0.05,0.61%,-21.98%,36260588,298934709,0.33%,-5.883,,133980556770
SH603392,万泰生物,49.92,+1.68,3.48%,-44.25%,5963459,298565628,0.47%,16.911,1.428%,63308893390
SH600690,海尔智家,24.13,-0.12,-0.49%,1.15%,12266645,296917230,0.19%,14.51,2.347%,227741712368
SH601001,晋控煤业,11.04,+0.15,1.38%,-1.27%,26633879,295990441,1.59%,8.818,5.696%,18477648000
SH600285,羚锐制药,16.71,+1.14,7.32%,33.05%,17831456,295575774,3.17%,18.517,3.593%,9476976106
SH603659,璞泰来,32.89,-0.01,-0.03%,-7.48%,8954854,294902539,0.44%,21.995,0.715%,66313084146
SH603607,京华激光,16.42,-1.49,-8.32%,31.83%,17852437,293635076,10%,31.932,3.027%,2931245856
SH601868,中国能建,2.29,+0.01,0.44%,1.08%,128506829,293318675,0.9%,12.465,1.096%,95472764726
SH600085,同仁堂,54.86,+0.17,0.31%,23.55%,5324900,293310854,0.39%,45.076,0.583%,75238858573
SH600406,国电南瑞,23.17,+0.17,0.74%,15.57%,12615678,292369555,0.16%,27.232,1.403%,186133961227
SH600779,水井坊,70.86,-0.36,-0.51%,-15.2%,4075750,289586333,0.83%,33.011,1.059%,34605288662
SH605365,立达信,16.72,-1.31,-7.27%,6.12%,17046124,289573607,29.77%,27.11,1.793%,8416639000
SH600511,国药股份,32.91,+1.54,4.91%,20.42%,8769965,289090531,1.58%,11.901,2.377%,24830693664
SH601058,赛轮轮胎,12.39,+0.1,0.81%,25.4%,23371147,289055844,0.75%,23.253,1.186%,38657429771
SH600886,国投电力,12.37,+0.02,0.16%,16.65%,23132104,286629836,0.33%,18.178,2.229%,92208204089
SH600104,上汽集团,14.89,+0.3,2.06%,5.79%,19302985,286268099,0.17%,10.685,2.265%,173966739725
SH601198,东兴证券,8.42,+0.14,1.69%,9.67%,33909707,284009076,1.05%,45.836,0.593%,27217191278
SH601066,中信建投,25.46,+0.23,0.91%,8.32%,11163576,283393761,0.29%,26.584,1.06%,197485449532
SH601800,中国交建,9.45,+0.07,0.75%,19.72%,29602546,279512207,0.25%,7.921,2.296%,153691600466
SH603589,口子窖,57.6,+0.12,0.21%,2.64%,4860102,279497062,0.81%,20.85,2.608%,34560000000
SH600884,杉杉股份,14.17,-0.36,-2.48%,-20.57%,19362056,276129061,1.1%,15.701,2.117%,32080502483
SH603256,宏和科技,8.12,-0.89,-9.88%,24.97%,33634856,275977711,3.82%,-3236.192,0.369%,7166001500
SH601878,浙商证券,10.39,+0.14,1.37%,5.82%,26564936,274782102,0.68%,21.9,1.251%,40294401581
SH603690,至纯科技,28.27,+0.12,0.43%,-10.06%,9578130,270923715,2.49%,35.284,0.389%,10932239966
SH600183,生益科技,15.58,+0.22,1.43%,11.45%,17430370,270332184,0.74%,31.782,2.877%,36609331331
SH603190,亚通精工,34.42,+1.2,3.61%,19.5%,7879791,266336235,26.27%,28.746,0.873%,4130400000
SH600280,中央商场,4.3,+0.04,0.94%,31.5%,62232908,265078976,5.52%,-95.691,,4851839588
SH601117,中国化学,7.86,+0.05,0.64%,1.2%,33446574,262273625,0.55%,8.406,2.252%,48020438822
SH601020,华钰矿业,9.77,+0.47,5.05%,18.94%,27168660,261359066,3.45%,41.872,,7691600446
SH600372,中航机载,15.15,-0.03,-0.2%,-5.13%,17057545,258352631,0.38%,67.914,0.778%,73309283945
SH600369,西南证券,4.26,+0.05,1.19%,14.33%,60855369,258160879,0.96%,49.104,0.701%,28308164868
SH600999,招商证券,14.15,+0.11,0.78%,7.82%,18227561,257539160,0.25%,14.475,1.306%,123055854305
SH600598,北大荒,13.65,+0.33,2.48%,2.33%,18767598,256197901,1.06%,24.157,3.077%,24265330758
SH603906,龙蟠科技,13.33,+0.51,3.98%,-42.42%,19397980,255395611,3.43%,-22.081,,7532501777
SH600141,兴发集团,21.55,+0.46,2.18%,-22.29%,11656354,253000471,1.05%,8.523,4.64%,23956591854
SH600588,用友网络,17.4,+0.28,1.64%,-27.8%,14574814,251259860,0.43%,-158.591,0.345%,59736322609
SH601900,南方传媒,16.17,+0.32,2.02%,99.02%,15665279,250464266,1.75%,14.367,2.907%,14486324072
SH601618,中国中冶,3.68,+0.05,1.38%,18.16%,68515862,250212832,0.38%,6.565,2.255%,76262918546
SH600016,民生银行,3.79,+0.01,0.26%,16.19%,65779363,249587409,0.19%,4.823,5.646%,165935366123
SH601918,新集能源,4.96,+0.07,1.43%,21.44%,50199488,249399762,1.94%,5.737,2.213%,12849087328
SH603106,恒银科技,7.44,+0.07,0.95%,44.47%,33767732,247269870,6.49%,-25.714,,3872668800
SH603324,盛剑环境,37.19,-0.87,-2.29%,6.51%,6640037,246425390,14.96%,32.075,0.431%,4651379333
SH600026,中远海能,12.74,+0.21,1.68%,6.83%,19210629,244040330,0.55%,14.83,1.176%,60779691272
SH601375,中原证券,4.08,+0.05,1.24%,12.3%,59938821,243684207,1.74%,47.44,0.171%,18942969576
SH601238,广汽集团,10.38,+0.23,2.27%,-4.26%,23511466,242504412,0.32%,20.618,2.216%,108838005390
SH600750,江中药业,18.72,+0.41,2.24%,33.29%,13045000,242404469,2.09%,18.107,6.133%,11783209614
SH601607,上海医药,17.85,+0.19,1.08%,3.14%,13579925,242384004,0.7%,14.58,3.419%,66103923814
SH603613,国联股份,34.61,+0.77,2.28%,-43.03%,7076992,242147649,0.98%,18.656,0.453%,24999955963
SH600777,新潮能源,2.59,+0.02,0.78%,18.81%,93055656,240523732,1.46%,6.635,,17613284187
SH601116,三江购物,13.32,+0.22,1.68%,19.5%,18104956,239396034,3.31%,45.161,1.5%,7295076288
SH600905,三峡能源,4.87,+0.03,0.62%,-12.56%,49163268,238909559,0.36%,20.968,1.561%,139397658604
SH601799,星宇股份,153.92,+2.12,1.4%,21.99%,1540238,238357072,0.54%,46.282,0.713%,43971776172
SH600219,南山铝业,3.24,+0.09,2.86%,0.38%,73558772,236993131,0.63%,12.673,1.238%,37935711228
SH603883,老百姓,25.1,+0.94,3.89%,-36.88%,9504464,236379632,1.63%,17.451,1.99%,14688371308
SH600322,天房发展,2.71,-0.09,-3.21%,19.91%,87145304,235855874,7.88%,-40.371,,2996447000
SH600792,云煤能源,3.8,-0.09,-2.31%,9.51%,61333300,235123757,6.2%,-24.637,,3761709680
SH601898,中煤能源,8.5,+0.06,0.71%,3.44%,27409564,234822039,0.3%,6.749,4.853%,112698638900
SH600587,新华医疗,25.44,+1.26,5.21%,19.28%,9294100,233881259,2.1%,18.588,0.59%,11877299720
SH600863,内蒙华电,3.43,-0.04,-1.15%,2.89%,67746950,233666117,1.04%,10.828,4.767%,22387225192
